Contributor	# people
epam / ketcher	33
epam / kubernetes-engine-samples	21
epam / cloud-pipeline	17
epam / ai-dial-chat	17
epam / ai-dial-core	16
epam / UUI	15
epam / Indigo	12
epam / aws-syndicate	12
epam / badgerdoc	12
epam / ai-dial	10
epam / modular-sdk	10
epam / edp-tekton	9
epam / edp-install	8
epam / edp-keycloak-operator	8
epam / ai-dial-adapter-bedrock	8
epam / sap-commerce-intellij-idea-plugin	7
epam / edp-headlamp	7
epam / ai-dial-analytics-realtime	7
epam / edp-cd-pipeline-operator	6
epam / edp-codebase-operator	6
epam / edp-nexus-operator	6
epam / ai-dial-chat-themes	6
epam / ai-dial-adapter-vertexai	6
epam / ai-dial-adapter-openai	6
epam / ai-dial-app-controller	6
epam / syndicate-rule-engine	6
epam / eco-kafka-manager	6
epam / edp-cluster-add-ons	5
epam / edp-gerrit-operator	5
epam / lifescience	5
epam / edp-ddm-architecture	5
epam / ai-dial-sdk	5
epam / TimeBaseGrafanaPlugin	5
epam / sdmxsource	5
epam / OSCI	5
epam / ai-dial-interceptors-sdk	4
epam / ai-dial-ci	4
epam / ai-dial-adapter-dial	4
epam / ecc-azure-rulepack	4
epam / ecc-gcp-rulepack	4
epam / ai-dial-app-builder-python	4
epam / ai-dial-helm	4
epam / epmgcip-chaperone.admin	4
epam / quanthub-portal	4
epam / eco-schema-catalog	4
epam / ecc-aws-rulepack	3
epam / modular-cli	3
epam / ValuesTypes4Java	3
epam / eco-commons-kafka	3
epam / miew	2
epam / ecc-openstack-rulepack	2
epam / ecc-kubernetes-rulepack	2
epam / GMP	2
epam / modular-api	2
epam / r8s	2
epam / ai-dial-auth-helper	2
epam / ember-risk-sample	2
epam / mriviewer	2
epam / epmgcip-chaperone.contentful	2
epam / eco-commons-avro	2
epam / AIRUN-Assistants-Benchmark-TestInstructions	2
epam / AIRUN-Assistants-Benchmark-CodeBase	2
epam / ember-fix-mdg-sample-python	2
epam / Indigo-ELN-v.-2.0	2
epam / NGB	1
epam / Wilma	1
epam / edp-sonar-operator	1
epam / edp-ddm-control-plane-gerrit	1
epam / edp-ddm-kong-admin-tools	1
epam / edp-ddm-excerpt-service-api	1
epam / edp-ddm-infrastructure-jenkins-agent	1
epam / edp-ddm-registry-postgres	1
epam / edp-ddm-platform-gateway	1
epam / edp-ddm-excerpt-worker	1
epam / edp-ddm-control-plane-console	1
epam / edp-ddm-form-submission-validation	1
epam / edp-ddm-smtp-server	1
epam / edp-ddm-ceph-client	1
epam / edp-ddm-logging	1
epam / edp-ddm-notification-service	1
epam / edp-ddm-form-schema-provider	1
epam / edp-ddm-registry-regulations-validator-cli	1
epam / edp-ddm-pgadmin-chart	1
epam / edp-ddm-platform-vault	1
epam / edp-ddm-control-plane-nexus	1
epam / edp-ddm-monitoring	1
epam / edp-ddm-jenkins-operator	1
epam / edp-ddm-excerpt-worker-docx	1
epam / edp-ddm-digital-document-service	1
epam / edp-ddm-kong	1
epam / edp-ddm-backup-management	1
epam / edp-ddm-registry-regulations-publication-pipeline	1
epam / edp-ddm-report-exporter	1
epam / edp-ddm-geo-server	1
epam / edp-ddm-redash-chart	1
epam / edp-ddm-bp-admin-portal	1
epam / edp-ddm-strimzi-kafka-operator	1
epam / edp-ddm-service-generation-utility	1
epam / edp-ddm-redis-operator	1
epam / edp-ddm-bpms	1
epam / edp-ddm-cluster-kafka-operator	1
epam / edp-ddm-liquibase-ddm-ext	1
epam / edp-ddm-user-management	1
epam / edp-ddm-dataplatform-jenkins-agent	1
epam / edp-ddm-language-server	1
epam / edp-ddm-process-history-service-persistence	1
epam / edp-ddm-redis-sentinel	1
epam / edp-ddm-platform-minio	1
epam / edp-ddm-nexus	1
epam / edp-ddm-process-history-service-api	1
epam / edp-ddm-excerpt-worker-csv	1
epam / edp-ddm-bp-webservice-gateway	1
epam / edp-ddm-registry-regulation-management	1
epam / edp-ddm-file-storage	1
epam / edp-ddm-registry-configuration	1
epam / edp-ddm-wiremock	1
epam / hubctl	1
epam / TimebaseCryptoConnectors	1
epam / epam-kafka	1
epam / ember-algo-sample	1
epam / ember-java-client	1
epam / ember-fix-mdg-sample-java	1
epam / DFP	1
epam / xdlc-ai	1
epam / kubernetes-kueue	1
epam / jsdmx	1
epam / ember-trade-connector-sample	1
epam / dail-xl	1
epam / ember-restws-samples	1
epam / AIRUN-LLM-Benchmark-Results	1
epam / AIRUN-LLM-Benchmark	1
epam / ado-delivery-gantt	1
epam / epmgcip-chaperone.ai	1
epam / ember-python-fix-sample	1
epam / nfstrace	1
epam / AIRUN-Evaluation-Framework	1
epam / deps-fe-labeling-tool	1
