Contributor	# people
epam / ketcher	27
epam / kubernetes-engine-samples	14
epam / ai-dial-chat	13
epam / cloud-pipeline	12
epam / UUI	11
epam / ai-dial-core	11
epam / aws-syndicate	8
epam / ai-dial-analytics-realtime	7
epam / modular-sdk	7
epam / sap-commerce-intellij-idea-plugin	6
epam / ai-dial-adapter-bedrock	6
epam / ai-dial-app-controller	6
epam / syndicate-rule-engine	6
epam / edp-tekton	5
epam / edp-install	5
epam / edp-headlamp	5
epam / edp-cd-pipeline-operator	5
epam / edp-cluster-add-ons	5
epam / ai-dial-sdk	5
epam / ai-dial-adapter-vertexai	5
epam / ai-dial-adapter-openai	5
epam / TimeBaseGrafanaPlugin	5
epam / OSCI	5
epam / edp-codebase-operator	4
epam / edp-nexus-operator	4
epam / edp-keycloak-operator	4
epam / ai-dial-ci	4
epam / ai-dial-adapter-dial	4
epam / Indigo	4
epam / ai-dial-app-builder-python	4
epam / ai-dial-helm	4
epam / eco-schema-catalog	4
epam / lifescience	3
epam / ai-dial-chat-themes	3
epam / ai-dial-interceptors-sdk	3
epam / ai-dial	3
epam / modular-cli	3
epam / epmgcip-chaperone.admin	3
epam / edp-gerrit-operator	2
epam / edp-ddm-architecture	2
epam / ecc-azure-rulepack	2
epam / ecc-aws-rulepack	2
epam / GMP	2
epam / modular-api	2
epam / ai-dial-auth-helper	2
epam / sdmxsource	2
epam / mriviewer	2
epam / quanthub-portal	2
epam / ValuesTypes4Java	2
epam / AIRUN-Assistants-Benchmark-TestInstructions	2
epam / AIRUN-Assistants-Benchmark-CodeBase	2
epam / Indigo-ELN-v.-2.0	2
epam / NGB	1
epam / edp-sonar-operator	1
epam / TimebaseCryptoConnectors	1
epam / epam-kafka	1
epam / epmgcip-chaperone.contentful	1
epam / DFP	1
epam / xdlc-ai	1
epam / kubernetes-kueue	1
epam / jsdmx	1
epam / miew	1
epam / ember-trade-connector-sample	1
epam / dail-xl	1
epam / ember-restws-samples	1
epam / AIRUN-LLM-Benchmark-Results	1
epam / AIRUN-LLM-Benchmark	1
epam / epmgcip-chaperone.ai	1
epam / badgerdoc	1
epam / AIRUN-Evaluation-Framework	1
