Repository 1	Repository 2	# people
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-adapter-openai]	10
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-openai]	10
[epam / edp-tekton]	[epam / edp-cluster-add-ons]	10
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-vertexai]	10
[epam / syndicate-rule-engine]	[epam / modular-sdk]	10
[epam / edp-cd-pipeline-operator]	[epam / edp-nexus-operator]	8
[epam / edp-tekton]	[epam / edp-cd-pipeline-operator]	8
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-openai]	8
[epam / aws-syndicate]	[epam / modular-sdk]	8
[epam / ai-dial-app-builder-python]	[epam / ai-dial-app-controller]	8
[epam / edp-tekton]	[epam / edp-install]	8
[epam / ai-dial-adapter-openai]	[epam / ai-dial-adapter-dial]	8
[epam / edp-cd-pipeline-operator]	[epam / edp-cluster-add-ons]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-dial]	8
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-adapter-dial]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-analytics-realtime]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-sdk]	8
[epam / edp-cd-pipeline-operator]	[epam / edp-codebase-operator]	8
[epam / edp-install]	[epam / edp-cd-pipeline-operator]	8
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-vertexai]	8
[epam / edp-install]	[epam / edp-cluster-add-ons]	8
[epam / edp-tekton]	[epam / edp-nexus-operator]	6
[epam / edp-nexus-operator]	[epam / edp-cluster-add-ons]	6
[epam / ai-dial-core]	[epam / ai-dial-chat]	6
[epam / edp-tekton]	[epam / edp-headlamp]	6
[epam / edp-tekton]	[epam / edp-codebase-operator]	6
[epam / edp-codebase-operator]	[epam / edp-nexus-operator]	6
[epam / ai-dial-sdk]	[epam / ai-dial-interceptors-sdk]	6
[epam / ai-dial-sdk]	[epam / ai-dial-analytics-realtime]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-adapter-dial]	6
[epam / edp-headlamp]	[epam / edp-cluster-add-ons]	6
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial-adapter-dial]	6
[epam / ai-dial-adapter-openai]	[epam / ai-dial-interceptors-sdk]	6
[epam / edp-cd-pipeline-operator]	[epam / edp-keycloak-operator]	6
[epam / edp-install]	[epam / edp-nexus-operator]	6
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-analytics-realtime]	6
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-dial]	6
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-interceptors-sdk]	6
[epam / edp-install]	[epam / edp-codebase-operator]	6
[epam / syndicate-rule-engine]	[epam / modular-cli]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-adapter-openai]	6
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-interceptors-sdk]	6
[epam / edp-nexus-operator]	[epam / edp-keycloak-operator]	6
[epam / edp-codebase-operator]	[epam / edp-keycloak-operator]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-interceptors-sdk]	6
[epam / ai-dial-chat]	[epam / ai-dial-chat-themes]	6
[epam / modular-cli]	[epam / modular-sdk]	6
[epam / edp-codebase-operator]	[epam / edp-cluster-add-ons]	6
[epam / edp-install]	[epam / edp-headlamp]	4
[epam / ai-dial-chat]	[epam / ai-dial-app-controller]	4
[epam / ai-dial-chat]	[epam / ai-dial-ci]	4
[epam / ai-dial-core]	[epam / ai-dial-sdk]	4
[epam / ai-dial-core]	[epam / ai-dial-adapter-openai]	4
[epam / edp-tekton]	[epam / edp-gerrit-operator]	4
[epam / ai-dial-chat]	[epam / ai-dial-adapter-dial]	4
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-ci]	4
[epam / edp-cluster-add-ons]	[epam / edp-keycloak-operator]	4
[epam / ai-dial-analytics-realtime]	[epam / ai-dial]	4
[epam / ai-dial-app-controller]	[epam / ai-dial-adapter-dial]	4
