Repository 1	Repository 2	# people
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-openai]	12
[epam / edp-tekton]	[epam / edp-nexus-operator]	12
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-adapter-openai]	12
[epam / edp-tekton]	[epam / edp-codebase-operator]	12
[epam / edp-codebase-operator]	[epam / edp-nexus-operator]	12
[epam / edp-tekton]	[epam / edp-cd-pipeline-operator]	12
[epam / aws-syndicate]	[epam / modular-sdk]	12
[epam / edp-tekton]	[epam / edp-install]	12
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-vertexai]	12
[epam / edp-cd-pipeline-operator]	[epam / edp-nexus-operator]	12
[epam / edp-cd-pipeline-operator]	[epam / edp-codebase-operator]	12
[epam / edp-install]	[epam / edp-headlamp]	10
[epam / edp-install]	[epam / edp-cd-pipeline-operator]	10
[epam / syndicate-rule-engine]	[epam / modular-sdk]	10
[epam / ai-dial-chat]	[epam / ai-dial-chat-themes]	10
[epam / edp-tekton]	[epam / edp-keycloak-operator]	10
[epam / edp-codebase-operator]	[epam / edp-keycloak-operator]	10
[epam / edp-cd-pipeline-operator]	[epam / edp-keycloak-operator]	10
[epam / edp-tekton]	[epam / edp-cluster-add-ons]	10
[epam / ai-dial-adapter-openai]	[epam / ai-dial-chat]	10
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-chat]	10
[epam / edp-tekton]	[epam / edp-headlamp]	10
[epam / edp-install]	[epam / edp-cluster-add-ons]	10
[epam / ai-dial-core]	[epam / ai-dial-chat]	10
[epam / edp-tekton]	[epam / edp-gerrit-operator]	10
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-chat]	10
[epam / edp-install]	[epam / edp-nexus-operator]	10
[epam / edp-install]	[epam / edp-codebase-operator]	10
[epam / edp-nexus-operator]	[epam / edp-keycloak-operator]	10
[epam / edp-nexus-operator]	[epam / edp-cluster-add-ons]	8
[epam / ai-dial-adapter-openai]	[epam / ai-dial-core]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-core]	8
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-vertexai]	8
[epam / edp-install]	[epam / edp-keycloak-operator]	8
[epam / edp-cd-pipeline-operator]	[epam / edp-gerrit-operator]	8
[epam / edp-nexus-operator]	[epam / edp-gerrit-operator]	8
[epam / edp-cluster-add-ons]	[epam / edp-gerrit-operator]	8
[epam / edp-headlamp]	[epam / edp-codebase-operator]	8
[epam / edp-keycloak-operator]	[epam / edp-gerrit-operator]	8
[epam / edp-cluster-add-ons]	[epam / edp-keycloak-operator]	8
