Repository 1	Repository 2	# people
[epam / edp-headlamp]	[epam / edp-cluster-add-ons]	8
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-adapter-dial]	8
[epam / edp-codebase-operator]	[epam / edp-gerrit-operator]	8
[epam / edp-headlamp]	[epam / edp-gerrit-operator]	8
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-core]	8
[epam / edp-headlamp]	[epam / edp-nexus-operator]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-analytics-realtime]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-sdk]	8
[epam / ai-dial-adapter-openai]	[epam / ai-dial-adapter-dial]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-interceptors-sdk]	8
[epam / edp-codebase-operator]	[epam / edp-cluster-add-ons]	8
[epam / edp-headlamp]	[epam / edp-cd-pipeline-operator]	8
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-openai]	8
[epam / ai-dial-app-builder-python]	[epam / ai-dial-app-controller]	8
[epam / edp-cd-pipeline-operator]	[epam / edp-cluster-add-ons]	8
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-dial]	8
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-interceptors-sdk]	8
[epam / edp-install]	[epam / edp-gerrit-operator]	8
[epam / ai-dial-chat]	[epam / ai-dial]	6
[epam / ai-dial-sdk]	[epam / ai-dial-core]	6
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial]	6
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial-adapter-dial]	6
[epam / ecc-azure-rulepack]	[epam / ecc-aws-rulepack]	6
[epam / ai-dial-ci]	[epam / ai-dial-chat]	6
[epam / ai-dial-adapter-openai]	[epam / ai-dial-ci]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-core]	6
[epam / ai-dial-core]	[epam / ai-dial-app-builder-python]	6
[epam / syndicate-rule-engine]	[epam / modular-cli]	6
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-interceptors-sdk]	6
[epam / ecc-aws-rulepack]	[epam / ecc-gcp-rulepack]	6
[epam / ai-dial-chat-themes]	[epam / ai-dial]	6
[epam / ecc-azure-rulepack]	[epam / ecc-gcp-rulepack]	6
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-ci]	6
[epam / ai-dial-core]	[epam / ai-dial-chat-themes]	6
[epam / ai-dial-core]	[epam / ai-dial-app-controller]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial]	6
[epam / ai-dial-sdk]	[epam / ai-dial-chat]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-adapter-dial]	6
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-analytics-realtime]	6
[epam / ai-dial-adapter-dial]	[epam / ai-dial-core]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-adapter-openai]	6
[epam / ai-dial-ci]	[epam / ai-dial-core]	6
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-ci]	6
[epam / ai-dial-adapter-dial]	[epam / ai-dial-chat]	6
[epam / ai-dial-sdk]	[epam / ai-dial-interceptors-sdk]	6
[epam / ai-dial-sdk]	[epam / ai-dial-analytics-realtime]	6
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-dial]	6
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-chat]	6
[epam / edp-headlamp]	[epam / edp-keycloak-operator]	6
[epam / ai-dial-adapter-openai]	[epam / ai-dial-interceptors-sdk]	6
[epam / modular-cli]	[epam / modular-sdk]	6
[epam / ai-dial-helm]	[epam / ai-dial-adapter-vertexai]	4
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial]	4
[epam / ecc-azure-rulepack]	[epam / ecc-kubernetes-rulepack]	4
[epam / ecc-aws-rulepack]	[epam / ecc-openstack-rulepack]	4
[epam / ai-dial-adapter-openai]	[epam / ai-dial-app-builder-python]	4
[epam / syndicate-rule-engine]	[epam / aws-syndicate]	4
[epam / ketcher]	[epam / lifescience]	4
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-app-controller]	4
[epam / ai-dial-ci]	[epam / ai-dial-chat-themes]	4
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-app-controller]	4
[epam / ai-dial-adapter-openai]	[epam / ai-dial]	4
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial]	4
[epam / ecc-gcp-rulepack]	[epam / ecc-kubernetes-rulepack]	4
[epam / aws-syndicate]	[epam / r8s]	4
[epam / eco-schema-catalog]	[epam / eco-commons-avro]	4
[epam / ketcher]	[epam / Indigo]	4
[epam / modular-api]	[epam / modular-cli]	4
[epam / modular-api]	[epam / modular-sdk]	4
[epam / modular-sdk]	[epam / r8s]	4
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-ci]	4
[epam / ai-dial-app-controller]	[epam / ai-dial-adapter-dial]	4
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial-chat]	4
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-app-controller]	4
[epam / lifescience]	[epam / Indigo]	4
[epam / ecc-gcp-rulepack]	[epam / ecc-openstack-rulepack]	4
[epam / ai-dial-chat]	[epam / ai-dial-app-builder-python]	4
[epam / ai-dial-chat-themes]	[epam / ai-dial-adapter-bedrock]	4
[epam / ai-dial-chat-themes]	[epam / ai-dial-adapter-vertexai]	4
[epam / ai-dial-chat]	[epam / ai-dial-app-controller]	4
[epam / ecc-aws-rulepack]	[epam / ecc-kubernetes-rulepack]	4
[epam / ai-dial-adapter-openai]	[epam / ai-dial-app-controller]	4
[epam / ai-dial-chat-themes]	[epam / ai-dial-adapter-openai]	4
[epam / syndicate-rule-engine]	[epam / modular-api]	4
[epam / AIRUN-Assistants-Benchmark-TestInstructions]	[epam / AIRUN-Assistants-Benchmark-CodeBase]	4
[epam / ai-dial-ci]	[epam / ai-dial-adapter-dial]	4
[epam / ai-dial-app-builder-python]	[epam / ai-dial-adapter-dial]	4
[epam / ai-dial]	[epam / ai-dial-core]	4
[epam / ai-dial-helm]	[epam / ai-dial-adapter-bedrock]	4
[epam / ai-dial-core]	[epam / ai-dial-auth-helper]	4
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-app-builder-python]	4
[epam / modular-cli]	[epam / aws-syndicate]	4
[epam / ai-dial-sdk]	[epam / ai-dial]	4
[epam / ecc-openstack-rulepack]	[epam / ecc-kubernetes-rulepack]	4
[epam / modular-api]	[epam / aws-syndicate]	4
[epam / ecc-azure-rulepack]	[epam / ecc-openstack-rulepack]	4
[epam / ai-dial-adapter-dial]	[epam / ai-dial]	4
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial-core]	4
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-app-builder-python]	4
[epam / ai-dial-helm]	[epam / ai-dial-adapter-openai]	4
[epam / edp-ddm-registry-configuration]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-excerpt-worker-docx]	[epam / edp-ddm-user-management]	2
[epam / edp-ddm-digital-document-service]	[epam / edp-ddm-user-management]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-control-plane-gerrit]	[epam / edp-ddm-redash-chart]	2
[epam / edp-ddm-control-plane-gerrit]	[epam / edp-ddm-platform-gateway]	2
[epam / edp-ddm-liquibase-ddm-ext]	[epam / edp-ddm-wiremock]	2
[epam / ai-dial-auth-helper]	[epam / ai-dial-chat-themes]	2
[epam / edp-ddm-digital-document-service]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-file-storage]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-excerpt-worker]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-registry-postgres]	[epam / edp-ddm-wiremock]	2
[epam / ai-dial-app-controller]	[epam / ai-dial-chat-themes]	2
[epam / modular-sdk]	[epam / ecc-azure-rulepack]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-redash-chart]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-notification-service]	2
[epam / edp-ddm-service-generation-utility]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-excerpt-worker-docx]	[epam / edp-ddm-kong]	2
[epam / edp-ddm-file-storage]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-control-plane-gerrit]	[epam / edp-ddm-digital-document-service]	2
[epam / edp-ddm-registry-postgres]	[epam / edp-ddm-bp-admin-portal]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-registry-regulations-publication-pipeline]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-platform-minio]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-digital-document-service]	2
[epam / edp-ddm-logging]	[epam / edp-ddm-form-schema-provider]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-control-plane-nexus]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-service-generation-utility]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-excerpt-worker-docx]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-platform-gateway]	2
[epam / edp-ddm-redis-operator]	[epam / edp-ddm-registry-regulation-management]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-redis-sentinel]	2
[epam / edp-ddm-smtp-server]	[epam / edp-ddm-platform-vault]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / ai-dial-app-builder-python]	[epam / ai-dial-chat-themes]	2
[epam / edp-ddm-service-generation-utility]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-backup-management]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-registry-regulation-management]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-backup-management]	2
[epam / edp-ddm-redis-sentinel]	[epam / edp-ddm-file-storage]	2
[epam / edp-ddm-bp-admin-portal]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-geo-server]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-service-generation-utility]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-excerpt-worker-docx]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-monitoring]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-platform-minio]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-control-plane-nexus]	[epam / edp-ddm-registry-regulation-management]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-bpms]	2
[epam / edp-ddm-excerpt-worker-docx]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-redis-operator]	2
[epam / edp-ddm-registry-regulations-publication-pipeline]	[epam / edp-ddm-bpms]	2
[epam / edp-ddm-process-history-service-persistence]	[epam / edp-ddm-redis-sentinel]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-monitoring]	2
[epam / edp-ddm-user-management]	[epam / edp-ddm-redis-sentinel]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-kong]	[epam / edp-ddm-backup-management]	2
[epam / edp-ddm-digital-document-service]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-process-history-service-api]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-smtp-server]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-service-generation-utility]	[epam / edp-ddm-user-management]	2
[epam / edp-ddm-registry-regulation-management]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-process-history-service-persistence]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-form-schema-provider]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-kong]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-monitoring]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-smtp-server]	[epam / edp-ddm-ceph-client]	2
[epam / edp-ddm-excerpt-worker]	[epam / edp-ddm-process-history-service-persistence]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-digital-document-service]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-geo-server]	2
[epam / edp-ddm-excerpt-worker-docx]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-redis-sentinel]	2
[epam / edp-ddm-bpms]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-control-plane-nexus]	2
[epam / edp-ddm-redis-operator]	[epam / edp-ddm-bpms]	2
[epam / edp-ddm-excerpt-worker-docx]	[epam / edp-ddm-registry-regulation-management]	2
[epam / ai-dial-helm]	[epam / ai-dial-sdk]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-redash-chart]	2
[epam / edp-ddm-logging]	[epam / edp-ddm-kong]	2
[epam / edp-ddm-ceph-client]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-redash-chart]	[epam / edp-ddm-process-history-service-persistence]	2
[epam / ai-dial-sdk]	[epam / ai-dial-app-builder-python]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-platform-minio]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-process-history-service-persistence]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-excerpt-worker-docx]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-redis-operator]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-registry-postgres]	2
[epam / edp-ddm-registry-regulations-publication-pipeline]	[epam / edp-ddm-report-exporter]	2
[epam / edp-ddm-platform-minio]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-process-history-service-api]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-ceph-client]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / modular-cli]	[epam / ecc-gcp-rulepack]	2
[epam / edp-ddm-smtp-server]	[epam / edp-ddm-dataplatform-jenkins-agent]	2
[epam / edp-ddm-process-history-service-persistence]	[epam / edp-ddm-process-history-service-api]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-file-storage]	2
[epam / syndicate-rule-engine]	[epam / ecc-openstack-rulepack]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-registry-regulation-management]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-service-generation-utility]	2
[epam / edp-ddm-logging]	[epam / edp-ddm-architecture]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-report-exporter]	2
[epam / edp-ddm-redis-operator]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-report-exporter]	2
[epam / edp-ddm-registry-regulations-publication-pipeline]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-wiremock]	2
[epam / epmgcip-chaperone.admin]	[epam / epmgcip-chaperone.contentful]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-backup-management]	2
[epam / edp-ddm-backup-management]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-geo-server]	[epam / edp-ddm-process-history-service-api]	2
[epam / edp-ddm-geo-server]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-smtp-server]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-process-history-service-api]	2
[epam / edp-ddm-smtp-server]	[epam / edp-ddm-control-plane-nexus]	2
[epam / edp-ddm-control-plane-console]	[epam / edp-ddm-notification-service]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-geo-server]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-ceph-client]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-geo-server]	[epam / edp-ddm-user-management]	2
[epam / edp-ddm-control-plane-gerrit]	[epam / edp-ddm-logging]	2
[epam / edp-ddm-smtp-server]	[epam / edp-ddm-registry-regulations-publication-pipeline]	2
[epam / edp-ddm-monitoring]	[epam / edp-ddm-redis-sentinel]	2
[epam / edp-ddm-registry-postgres]	[epam / edp-ddm-registry-regulation-management]	2
[epam / edp-ddm-user-management]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-registry-regulations-publication-pipeline]	[epam / edp-ddm-file-storage]	2
[epam / edp-ddm-registry-postgres]	[epam / edp-ddm-registry-regulations-publication-pipeline]	2
[epam / edp-ddm-control-plane-console]	[epam / edp-ddm-platform-minio]	2
[epam / edp-ddm-backup-management]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-registry-postgres]	[epam / edp-ddm-platform-vault]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-pgadmin-chart]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-registry-regulation-management]	2
[epam / edp-ddm-control-plane-console]	[epam / edp-ddm-kong]	2
[epam / syndicate-rule-engine]	[epam / r8s]	2
[epam / edp-ddm-kong-admin-tools]	[epam / edp-ddm-architecture]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-platform-minio]	2
[epam / edp-ddm-digital-document-service]	[epam / edp-ddm-file-storage]	2
[epam / edp-ddm-redis-operator]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-strimzi-kafka-operator]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-liquibase-ddm-ext]	[epam / edp-ddm-process-history-service-persistence]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-file-storage]	2
[epam / edp-ddm-digital-document-service]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-report-exporter]	[epam / edp-ddm-bpms]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-registry-regulations-publication-pipeline]	2
[epam / edp-ddm-registry-regulation-management]	[epam / edp-ddm-file-storage]	2
[epam / ai-dial-auth-helper]	[epam / ai-dial-adapter-dial]	2
[epam / edp-ddm-control-plane-nexus]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-architecture]	2
[epam / edp-ddm-registry-postgres]	[epam / edp-ddm-strimzi-kafka-operator]	2
[epam / edp-ddm-nexus]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-logging]	[epam / edp-ddm-registry-regulations-validator-cli]	2
[epam / edp-ddm-language-server]	[epam / edp-ddm-redis-sentinel]	2
[epam / eco-schema-catalog]	[epam / eco-commons-kafka]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-strimzi-kafka-operator]	2
[epam / edp-ddm-kong]	[epam / edp-ddm-dataplatform-jenkins-agent]	2
[epam / edp-ddm-liquibase-ddm-ext]	[epam / edp-ddm-user-management]	2
[epam / edp-ddm-backup-management]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-form-submission-validation]	2
[epam / edp-ddm-excerpt-worker]	[epam / edp-ddm-bp-admin-portal]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-monitoring]	2
[epam / edp-ddm-backup-management]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-registry-regulations-publication-pipeline]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-file-storage]	2
[epam / edp-ddm-architecture]	[epam / edp-ddm-kong]	2
[epam / edp-ddm-monitoring]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-smtp-server]	[epam / edp-ddm-process-history-service-api]	2
[epam / edp-ddm-service-generation-utility]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-platform-gateway]	2
[epam / edp-ddm-excerpt-worker]	[epam / edp-ddm-logging]	2
[epam / edp-ddm-bpms]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-report-exporter]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-monitoring]	2
[epam / edp-ddm-excerpt-service-api]	[epam / edp-ddm-jenkins-operator]	2
[epam / edp-ddm-kong]	[epam / edp-ddm-report-exporter]	2
[epam / edp-ddm-process-history-service-api]	[epam / edp-ddm-registry-configuration]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-kong]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-notification-service]	[epam / edp-ddm-report-exporter]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-process-history-service-persistence]	2
[epam / edp-ddm-excerpt-worker]	[epam / edp-ddm-smtp-server]	2
[epam / edp-ddm-registry-regulations-publication-pipeline]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-kong]	[epam / edp-ddm-registry-configuration]	2
[epam / ai-dial-helm]	[epam / ai-dial-chat]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-dataplatform-jenkins-agent]	2
[epam / edp-ddm-service-generation-utility]	[epam / edp-ddm-bpms]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-process-history-service-persistence]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-registry-regulations-validator-cli]	[epam / edp-ddm-platform-vault]	2
[epam / ember-restws-samples]	[epam / ember-fix-mdg-sample-python]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-monitoring]	2
[epam / edp-ddm-excerpt-worker]	[epam / edp-ddm-platform-minio]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-user-management]	2
[epam / edp-ddm-form-schema-provider]	[epam / edp-ddm-registry-regulations-publication-pipeline]	2
[epam / edp-ddm-jenkins-operator]	[epam / edp-ddm-redis-operator]	2
[epam / edp-ddm-redis-sentinel]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-strimzi-kafka-operator]	[epam / edp-ddm-bpms]	2
[epam / edp-ddm-excerpt-worker-docx]	[epam / edp-ddm-excerpt-worker-csv]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-kong]	2
[epam / edp-ddm-logging]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-form-submission-validation]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-logging]	[epam / edp-ddm-redis-sentinel]	2
[epam / syndicate-rule-engine]	[epam / ecc-azure-rulepack]	2
[epam / edp-ddm-report-exporter]	[epam / edp-ddm-nexus]	2
[epam / edp-ddm-control-plane-gerrit]	[epam / edp-ddm-liquibase-ddm-ext]	2
[epam / edp-ddm-platform-gateway]	[epam / edp-ddm-notification-service]	2
[epam / edp-ddm-ceph-client]	[epam / edp-ddm-bp-webservice-gateway]	2
[epam / edp-ddm-excerpt-worker]	[epam / edp-ddm-pgadmin-chart]	2
[epam / edp-ddm-pgadmin-chart]	[epam / edp-ddm-service-generation-utility]	2
[epam / edp-ddm-monitoring]	[epam / edp-ddm-strimzi-kafka-operator]	2
[epam / edp-ddm-control-plane-console]	[epam / edp-ddm-backup-management]	2
[epam / edp-ddm-dataplatform-jenkins-agent]	[epam / edp-ddm-language-server]	2
[epam / edp-ddm-infrastructure-jenkins-agent]	[epam / edp-ddm-logging]	2
[epam / edp-ddm-platform-vault]	[epam / edp-ddm-platform-minio]	2
[epam / edp-ddm-control-plane-console]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-backup-management]	[epam / edp-ddm-wiremock]	2
[epam / edp-ddm-redis-operator]	[epam / edp-ddm-cluster-kafka-operator]	2
[epam / edp-ddm-service-generation-utility]	[epam / edp-ddm-process-history-service-persistence]	2
