Repository	Main Lanuguage	LOC (main)	LOC (test)	LOC (other)	Age (years)	Contributors	Recent Contributors	Rookies	Commits this year	Latest commit
epam / edp-ddm-starter-audit	JAVA	652	242	302	2	2	0	0	0	2023-05-11
epam / edp-ddm-low-code-platform-parent	GROOVY	6	0	344	2	3	0	0	0	2023-08-07
epam / edp-ddm-user-settings-model	JAVA	163	7	256	2	6	0	0	0	2023-05-11
epam / edp-ddm-notification-template-publisher	JAVA	785	274	298	2	8	0	0	0	2023-05-11
epam / edp-ddm-bp-webservice-gateway	JAVA	1819	47	562	2	10	0	0	0	2024-08-09
epam / edp-ddm-rest-api-core-base-image	JAVA	5153	4528	512	2	13	0	0	0	2023-08-28
epam / edp-ddm-registry-regulation-management	JAVA	14826	11964	1532	3	24	0	0	0	2024-08-09
epam / edp-ddm-starter-localization	JAVA	86	37	290	2	4	0	0	0	2023-05-11
epam / edp-ddm-file-storage	JAVA	477	266	257	2	5	0	0	0	2024-08-09
epam / edp-ddm-dso-client	JAVA	695	0	364	2	5	0	0	0	2023-08-07
epam / edp-ddm-registry-steps	JAVA	2579	17	1008	3	9	0	0	0	2023-09-01
epam / hibernate-ogm	JAVA	49670	49698	15085	15	59	0	0	0	2018-10-29
epam / eco-schema-catalog	JAVA	23586	8997	2174	5	15	4	1	0	2024-12-25
epam / edp-ddm-low-code-platform-maven-tiles	XML	200	0	270	2	4	0	0	0	2023-05-16
epam / edp-ddm-form-validation-client	JAVA	357	0	407	2	5	0	0	0	2023-05-17
epam / edp-ddm-user-task-management	JAVA	2536	563	572	2	14	0	0	0	2023-09-06
epam / edp-ddm-starter-juel-function	JAVA	1825	996	423	2	8	0	0	0	2023-08-08
epam / edp-ddm-starter-rest-api	JAVA	464	155	253	0	0	0	0	0	
